sample start time,distance,confidence
 09 Aug 2022 13:15:16 +0000 ,6751,100
 09 Aug 2022 13:15:16 +0000 ,6751,100
 09 Aug 2022 13:15:16 +0000 ,6751,100
 09 Aug 2022 13:15:16 +0000 ,6751,100
 09 Aug 2022 13:15:16 +0000 ,6751,100
 09 Aug 2022 13:15:16 +0000 ,6753,100
 09 Aug 2022 13:15:16 +0000 ,6753,100
 09 Aug 2022 13:15:16 +0000 ,6753,100
 09 Aug 2022 13:15:16 +0000 ,6753,100
 09 Aug 2022 13:15:16 +0000 ,6753,100
 09 Aug 2022 13:15:16 +0000 ,6753,100
 09 Aug 2022 13:15:16 +0000 ,6752,100
 09 Aug 2022 13:15:16 +0000 ,6752,100
 09 Aug 2022 13:15:16 +0000 ,6752,100
 09 Aug 2022 13:15:16 +0000 ,6752,100
 09 Aug 2022 13:15:16 +0000 ,6752,100
 09 Aug 2022 13:15:16 +0000 ,6752,100
 09 Aug 2022 13:15:16 +0000 ,6752,100
 09 Aug 2022 13:15:16 +0000 ,6752,100
 09 Aug 2022 13:15:16 +0000 ,6752,100
 09 Aug 2022 13:15:16 +0000 ,6751,100
 09 Aug 2022 13:15:16 +0000 ,6751,100
 09 Aug 2022 13:15:16 +0000 ,6751,100
 09 Aug 2022 13:15:16 +0000 ,6752,100
 09 Aug 2022 13:15:16 +0000 ,6752,100
 09 Aug 2022 13:15:16 +0000 ,6752,100
 09 Aug 2022 13:15:16 +0000 ,6753,83
 09 Aug 2022 13:15:16 +0000 ,6753,83
 09 Aug 2022 13:15:16 +0000 ,6753,83
 09 Aug 2022 13:15:16 +0000 ,6753,83
 09 Aug 2022 13:15:16 +0000 ,6753,83
 09 Aug 2022 13:15:16 +0000 ,6753,83
 09 Aug 2022 13:15:16 +0000 ,6750,66
 09 Aug 2022 13:15:16 +0000 ,6750,66
 09 Aug 2022 13:15:16 +0000 ,6750,66
 09 Aug 2022 13:15:16 +0000 ,6747,50
 09 Aug 2022 13:15:16 +0000 ,6747,50
 09 Aug 2022 13:15:16 +0000 ,6747,50
 09 Aug 2022 13:15:16 +0000 ,6747,66
 09 Aug 2022 13:15:16 +0000 ,6747,66
 09 Aug 2022 13:15:16 +0000 ,6747,66
 09 Aug 2022 13:15:16 +0000 ,6749,66
 09 Aug 2022 13:15:16 +0000 ,6749,66
 09 Aug 2022 13:15:16 +0000 ,6749,66
 09 Aug 2022 13:15:16 +0000 ,6746,66
 09 Aug 2022 13:15:16 +0000 ,6746,66
 09 Aug 2022 13:15:16 +0000 ,6746,66
 09 Aug 2022 13:15:16 +0000 ,6746,83
 09 Aug 2022 13:15:16 +0000 ,6746,83
 09 Aug 2022 13:15:16 +0000 ,6746,83
 09 Aug 2022 13:15:16 +0000 ,6746,83
 09 Aug 2022 13:15:16 +0000 ,6746,83
 09 Aug 2022 13:15:16 +0000 ,6746,83
 09 Aug 2022 13:15:16 +0000 ,6746,83
 09 Aug 2022 13:15:16 +0000 ,6746,83
 09 Aug 2022 13:15:16 +0000 ,6746,83
