time,field,id,lat,lon
0,Frigg,0.0,58.86367565841974,2.0017470010970517
1,Frigg,0.0,58.86544197369193,2.0015398665633874
2,Frigg,0.0,58.86359255148199,2.002611684378707
3,Frigg,0.0,58.86230901560574,2.0030256747541717
4,Frigg,0.0,58.86441462109733,2.0013376143115402
5,Frigg,0.0,58.86467552525174,2.0024630873733
6,Frigg,0.0,58.86179367161506,2.001237092944196
7,Frigg,0.0,58.86205818463669,2.0019252978234903
8,Frigg,0.0,58.86408749452599,2.002316719851166
9,Frigg,0.0,58.8624126396214,2.000719120360975
10,Frigg,0.0,58.86260692922971,2.002067186461119
11,Frigg,0.0,58.862574439085705,2.00029417913287
12,Frigg,0.0,58.863857178096325,2.0010993122743734
13,Frigg,0.0,58.86407613136583,2.001960286096024
14,Frigg,0.0,58.8633503758054,2.001981653944014
15,Frigg,0.0,58.86408075053245,2.0009927344274105
16,Frigg,0.0,58.864057964225516,2.001556963037858
17,Frigg,0.0,58.86231573518717,2.0021204297877517
18,Frigg,0.0,58.86283998156975,2.0013387231350586
19,Frigg,0.0,58.863483764175264,2.0016515582663295
20,Frigg,0.0,58.863154883274184,2.001637037296118
21,Frigg,0.0,58.86122690483448,2.001758528921345
22,Frigg,0.0,58.86297332296636,2.0003286840003347
23,Frigg,0.0,58.86368081010843,2.0022656843512903
24,Frigg,0.0,58.86381364075123,2.001801950037699
25,Frigg,0.0,58.8644872765109,2.000893024619539
26,Frigg,0.0,58.86163805901222,2.001552823257075
27,Frigg,0.0,58.86400272848055,2.0015038867062334
28,Frigg,0.0,58.864182260907356,2.0011324203664635
29,Frigg,0.0,58.86406461367779,2.001580630556767
30,Frigg,0.0,58.86331739891058,2.0026469644655682
31,Frigg,0.0,58.86304705779761,2.001170987781981
32,Frigg,0.0,58.8627103450286,2.00209113768214
33,Frigg,0.0,58.863570948374274,2.001125943374589
34,Frigg,0.0,58.863795222457235,1.9995748269279265
35,Frigg,0.0,58.86191842601929,2.0005610954839073
36,Frigg,0.0,58.86431272183973,2.001815100318535
37,Frigg,0.0,58.86270910226631,2.001957940080641
38,Frigg,0.0,58.86410989887881,2.000133019574651
39,Frigg,0.0,58.86350903947674,2.002115752748629
40,Frigg,0.0,58.86381222050625,2.000814346885128
41,Frigg,0.0,58.86406934513788,2.0017844020913644
42,Frigg,0.0,58.86434657321633,2.0019489711219265
43,Frigg,0.0,58.86435471257083,1.9997538578091891
44,Frigg,0.0,58.860997258495296,2.0026269446720417
45,Frigg,0.0,58.864780344098854,2.0023146933568277
